feature_name,feature_group
text_closest_embedding_172,text_embedding
text_closest_embedding_173,text_embedding
text_closest_embedding_174,text_embedding
text_closest_embedding_175,text_embedding
text_closest_embedding_176,text_embedding
text_closest_embedding_177,text_embedding
text_closest_embedding_178,text_embedding
text_closest_embedding_179,text_embedding
text_closest_embedding_180,text_embedding
text_closest_embedding_181,text_embedding
text_closest_embedding_182,text_embedding
text_closest_embedding_183,text_embedding
text_closest_embedding_184,text_embedding
text_closest_embedding_185,text_embedding
text_closest_embedding_186,text_embedding
text_closest_embedding_187,text_embedding
text_closest_embedding_188,text_embedding
text_closest_embedding_189,text_embedding
text_closest_embedding_190,text_embedding
text_closest_embedding_191,text_embedding
text_closest_embedding_192,text_embedding
text_closest_embedding_193,text_embedding
text_closest_embedding_194,text_embedding
text_closest_embedding_195,text_embedding
text_closest_embedding_196,text_embedding
text_closest_embedding_197,text_embedding
text_closest_embedding_198,text_embedding
text_closest_embedding_199,text_embedding
text_closest_embedding_200,text_embedding
text_closest_embedding_201,text_embedding
text_closest_embedding_202,text_embedding
text_closest_embedding_203,text_embedding
text_closest_embedding_204,text_embedding
text_closest_embedding_205,text_embedding
text_closest_embedding_206,text_embedding
text_closest_embedding_207,text_embedding
text_closest_embedding_208,text_embedding
text_closest_embedding_209,text_embedding
text_closest_embedding_210,text_embedding
text_closest_embedding_211,text_embedding
text_closest_embedding_212,text_embedding
text_closest_embedding_213,text_embedding
text_closest_embedding_214,text_embedding
text_closest_embedding_215,text_embedding
text_closest_embedding_216,text_embedding
text_closest_embedding_217,text_embedding
text_closest_embedding_218,text_embedding
text_closest_embedding_219,text_embedding
text_closest_embedding_220,text_embedding
text_closest_embedding_221,text_embedding
text_closest_embedding_222,text_embedding
text_closest_embedding_223,text_embedding
text_closest_embedding_224,text_embedding
text_closest_embedding_225,text_embedding
text_closest_embedding_226,text_embedding
text_closest_embedding_227,text_embedding
text_closest_embedding_228,text_embedding
text_closest_embedding_229,text_embedding
text_closest_embedding_230,text_embedding
text_closest_embedding_231,text_embedding
text_closest_embedding_232,text_embedding
text_closest_embedding_233,text_embedding
text_closest_embedding_234,text_embedding
text_closest_embedding_235,text_embedding
text_closest_embedding_236,text_embedding
text_closest_embedding_237,text_embedding
text_closest_embedding_238,text_embedding
text_closest_embedding_239,text_embedding
text_closest_embedding_240,text_embedding
text_closest_embedding_241,text_embedding
text_closest_embedding_242,text_embedding
text_closest_embedding_243,text_embedding
text_closest_embedding_244,text_embedding
text_closest_embedding_245,text_embedding
text_closest_embedding_246,text_embedding
text_closest_embedding_247,text_embedding
text_closest_embedding_248,text_embedding
text_closest_embedding_249,text_embedding
text_closest_embedding_250,text_embedding
text_closest_embedding_251,text_embedding
text_closest_embedding_252,text_embedding
text_closest_embedding_253,text_embedding
text_closest_embedding_254,text_embedding
text_closest_embedding_255,text_embedding
text_closest_embedding_256,text_embedding
text_closest_embedding_257,text_embedding
text_closest_embedding_258,text_embedding
text_closest_embedding_259,text_embedding
text_closest_embedding_260,text_embedding
text_closest_embedding_261,text_embedding
text_closest_embedding_262,text_embedding
text_closest_embedding_263,text_embedding
text_closest_embedding_264,text_embedding
text_closest_embedding_265,text_embedding
text_closest_embedding_266,text_embedding
text_closest_embedding_267,text_embedding
text_closest_embedding_268,text_embedding
text_closest_embedding_269,text_embedding
text_closest_embedding_270,text_embedding
text_closest_embedding_271,text_embedding
text_closest_embedding_272,text_embedding
text_closest_embedding_273,text_embedding
text_closest_embedding_274,text_embedding
text_closest_embedding_275,text_embedding
text_closest_embedding_276,text_embedding
text_closest_embedding_277,text_embedding
text_closest_embedding_278,text_embedding
text_closest_embedding_279,text_embedding
text_closest_embedding_280,text_embedding
text_closest_embedding_281,text_embedding
text_closest_embedding_282,text_embedding
text_closest_embedding_283,text_embedding
text_closest_embedding_284,text_embedding
text_closest_embedding_285,text_embedding
text_closest_embedding_286,text_embedding
text_closest_embedding_287,text_embedding
text_closest_embedding_288,text_embedding
text_closest_embedding_289,text_embedding
text_closest_embedding_290,text_embedding
text_closest_embedding_291,text_embedding
text_closest_embedding_292,text_embedding
text_closest_embedding_293,text_embedding
text_closest_embedding_294,text_embedding
text_closest_embedding_295,text_embedding
text_closest_embedding_296,text_embedding
text_closest_embedding_297,text_embedding
text_closest_embedding_298,text_embedding
text_closest_embedding_299,text_embedding
text_closest_embedding_300,text_embedding
text_closest_embedding_301,text_embedding
text_closest_embedding_302,text_embedding
text_closest_embedding_303,text_embedding
text_closest_embedding_304,text_embedding
text_closest_embedding_305,text_embedding
text_closest_embedding_306,text_embedding
text_closest_embedding_307,text_embedding
text_closest_embedding_308,text_embedding
text_closest_embedding_309,text_embedding
text_closest_embedding_310,text_embedding
text_closest_embedding_311,text_embedding
text_closest_embedding_312,text_embedding
text_closest_embedding_313,text_embedding
text_closest_embedding_314,text_embedding
text_closest_embedding_315,text_embedding
text_closest_embedding_316,text_embedding
text_closest_embedding_317,text_embedding
text_closest_embedding_318,text_embedding
text_closest_embedding_319,text_embedding
text_closest_embedding_320,text_embedding
text_closest_embedding_321,text_embedding
text_closest_embedding_322,text_embedding
text_closest_embedding_323,text_embedding
text_closest_embedding_324,text_embedding
text_closest_embedding_325,text_embedding
text_closest_embedding_326,text_embedding
text_closest_embedding_327,text_embedding
text_closest_embedding_328,text_embedding
text_closest_embedding_329,text_embedding
text_closest_embedding_330,text_embedding
text_closest_embedding_331,text_embedding
text_closest_embedding_332,text_embedding
text_closest_embedding_333,text_embedding
text_closest_embedding_334,text_embedding
text_closest_embedding_335,text_embedding
text_closest_embedding_336,text_embedding
text_closest_embedding_337,text_embedding
text_closest_embedding_338,text_embedding
text_closest_embedding_339,text_embedding
text_closest_embedding_340,text_embedding
text_closest_embedding_341,text_embedding
text_closest_embedding_342,text_embedding
text_closest_embedding_343,text_embedding
text_closest_embedding_344,text_embedding
text_closest_embedding_345,text_embedding
text_closest_embedding_346,text_embedding
text_closest_embedding_347,text_embedding
text_closest_embedding_348,text_embedding
text_closest_embedding_349,text_embedding
text_closest_embedding_350,text_embedding
text_closest_embedding_351,text_embedding
text_closest_embedding_352,text_embedding
text_closest_embedding_353,text_embedding
text_closest_embedding_354,text_embedding
text_closest_embedding_355,text_embedding
text_closest_embedding_356,text_embedding
text_closest_embedding_357,text_embedding
text_closest_embedding_358,text_embedding
text_closest_embedding_359,text_embedding
text_closest_embedding_360,text_embedding
text_closest_embedding_361,text_embedding
text_closest_embedding_362,text_embedding
text_closest_embedding_363,text_embedding
text_closest_embedding_364,text_embedding
text_closest_embedding_365,text_embedding
text_closest_embedding_366,text_embedding
text_closest_embedding_367,text_embedding
text_closest_embedding_368,text_embedding
text_closest_embedding_369,text_embedding
text_closest_embedding_370,text_embedding
text_closest_embedding_371,text_embedding
text_closest_embedding_372,text_embedding
text_closest_embedding_373,text_embedding
text_closest_embedding_374,text_embedding
text_closest_embedding_375,text_embedding
text_closest_embedding_376,text_embedding
text_closest_embedding_377,text_embedding
text_closest_embedding_378,text_embedding
text_closest_embedding_379,text_embedding
text_closest_embedding_380,text_embedding
text_closest_embedding_381,text_embedding
text_closest_embedding_382,text_embedding
text_closest_embedding_383,text_embedding
text_closest_embedding_384,text_embedding
text_closest_embedding_385,text_embedding
text_closest_embedding_386,text_embedding
text_closest_embedding_387,text_embedding
text_closest_embedding_388,text_embedding
text_closest_embedding_389,text_embedding
text_closest_embedding_390,text_embedding
text_closest_embedding_391,text_embedding
text_closest_embedding_392,text_embedding
text_closest_embedding_393,text_embedding
text_closest_embedding_394,text_embedding
text_closest_embedding_395,text_embedding
text_closest_embedding_396,text_embedding
text_closest_embedding_397,text_embedding
text_closest_embedding_398,text_embedding
text_closest_embedding_399,text_embedding
text_closest_embedding_400,text_embedding
text_closest_embedding_401,text_embedding
text_closest_embedding_402,text_embedding
text_closest_embedding_403,text_embedding
text_closest_embedding_404,text_embedding
text_closest_embedding_405,text_embedding
text_closest_embedding_406,text_embedding
text_closest_embedding_407,text_embedding
text_closest_embedding_408,text_embedding
text_closest_embedding_409,text_embedding
text_closest_embedding_410,text_embedding
text_closest_embedding_411,text_embedding
text_closest_embedding_412,text_embedding
text_closest_embedding_413,text_embedding
text_closest_embedding_414,text_embedding
text_closest_embedding_415,text_embedding
text_closest_embedding_416,text_embedding
text_closest_embedding_417,text_embedding
text_closest_embedding_418,text_embedding
text_closest_embedding_419,text_embedding
text_closest_embedding_420,text_embedding
text_closest_embedding_421,text_embedding
text_closest_embedding_422,text_embedding
text_closest_embedding_423,text_embedding
text_closest_embedding_424,text_embedding
text_closest_embedding_425,text_embedding
text_closest_embedding_426,text_embedding
text_closest_embedding_427,text_embedding
text_closest_embedding_428,text_embedding
text_closest_embedding_429,text_embedding
text_closest_embedding_430,text_embedding
text_closest_embedding_431,text_embedding
text_closest_embedding_432,text_embedding
text_closest_embedding_433,text_embedding
text_closest_embedding_434,text_embedding
text_closest_embedding_435,text_embedding
text_closest_embedding_436,text_embedding
text_closest_embedding_437,text_embedding
text_closest_embedding_438,text_embedding
text_closest_embedding_439,text_embedding
text_closest_embedding_440,text_embedding
text_closest_embedding_441,text_embedding
text_closest_embedding_442,text_embedding
text_closest_embedding_443,text_embedding
text_closest_embedding_444,text_embedding
text_closest_embedding_445,text_embedding
text_closest_embedding_446,text_embedding
text_closest_embedding_447,text_embedding
text_closest_embedding_448,text_embedding
text_closest_embedding_449,text_embedding
text_closest_embedding_450,text_embedding
text_closest_embedding_451,text_embedding
text_closest_embedding_452,text_embedding
text_closest_embedding_453,text_embedding
text_closest_embedding_454,text_embedding
text_closest_embedding_455,text_embedding
text_closest_embedding_456,text_embedding
text_closest_embedding_457,text_embedding
text_closest_embedding_458,text_embedding
text_closest_embedding_459,text_embedding
text_closest_embedding_460,text_embedding
text_closest_embedding_461,text_embedding
text_closest_embedding_462,text_embedding
text_closest_embedding_463,text_embedding
text_closest_embedding_464,text_embedding
text_closest_embedding_465,text_embedding
text_closest_embedding_466,text_embedding
text_closest_embedding_467,text_embedding
text_closest_embedding_468,text_embedding
text_closest_embedding_469,text_embedding
text_closest_embedding_470,text_embedding
text_closest_embedding_471,text_embedding
text_closest_embedding_472,text_embedding
text_closest_embedding_473,text_embedding
text_closest_embedding_474,text_embedding
text_closest_embedding_475,text_embedding
text_closest_embedding_476,text_embedding
text_closest_embedding_477,text_embedding
text_closest_embedding_478,text_embedding
text_closest_embedding_479,text_embedding
text_closest_embedding_480,text_embedding
text_closest_embedding_481,text_embedding
text_closest_embedding_482,text_embedding
text_closest_embedding_483,text_embedding
text_closest_embedding_484,text_embedding
text_closest_embedding_485,text_embedding
text_closest_embedding_486,text_embedding
text_closest_embedding_487,text_embedding
text_closest_embedding_488,text_embedding
text_closest_embedding_489,text_embedding
text_closest_embedding_490,text_embedding
text_closest_embedding_491,text_embedding
text_closest_embedding_492,text_embedding
text_closest_embedding_493,text_embedding
text_closest_embedding_494,text_embedding
text_closest_embedding_495,text_embedding
text_closest_embedding_496,text_embedding
text_closest_embedding_497,text_embedding
text_closest_embedding_498,text_embedding
text_closest_embedding_499,text_embedding
text_closest_embedding_500,text_embedding
text_closest_embedding_501,text_embedding
text_closest_embedding_502,text_embedding
text_closest_embedding_503,text_embedding
text_closest_embedding_504,text_embedding
text_closest_embedding_505,text_embedding
text_closest_embedding_506,text_embedding
text_closest_embedding_507,text_embedding
text_closest_embedding_508,text_embedding
text_closest_embedding_509,text_embedding
text_closest_embedding_510,text_embedding
text_closest_embedding_511,text_embedding
text_closest_embedding_512,text_embedding
text_closest_embedding_513,text_embedding
text_closest_embedding_514,text_embedding
text_closest_embedding_515,text_embedding
text_closest_embedding_516,text_embedding
text_closest_embedding_517,text_embedding
text_closest_embedding_518,text_embedding
text_closest_embedding_519,text_embedding
text_closest_embedding_520,text_embedding
text_closest_embedding_521,text_embedding
text_closest_embedding_522,text_embedding
text_closest_embedding_523,text_embedding
text_closest_embedding_524,text_embedding
text_closest_embedding_525,text_embedding
text_closest_embedding_526,text_embedding
text_closest_embedding_527,text_embedding
text_closest_embedding_528,text_embedding
text_closest_embedding_529,text_embedding
text_closest_embedding_530,text_embedding
text_closest_embedding_531,text_embedding
text_closest_embedding_532,text_embedding
text_closest_embedding_533,text_embedding
text_closest_embedding_534,text_embedding
text_closest_embedding_535,text_embedding
text_closest_embedding_536,text_embedding
text_closest_embedding_537,text_embedding
text_closest_embedding_538,text_embedding
text_closest_embedding_539,text_embedding
text_closest_embedding_540,text_embedding
text_closest_embedding_541,text_embedding
text_closest_embedding_542,text_embedding
text_closest_embedding_543,text_embedding
text_closest_embedding_544,text_embedding
text_closest_embedding_545,text_embedding
text_closest_embedding_546,text_embedding
text_closest_embedding_547,text_embedding
text_closest_embedding_548,text_embedding
text_closest_embedding_549,text_embedding
text_closest_embedding_550,text_embedding
text_closest_embedding_551,text_embedding
text_closest_embedding_552,text_embedding
text_closest_embedding_553,text_embedding
text_closest_embedding_554,text_embedding
text_closest_embedding_555,text_embedding
text_closest_embedding_556,text_embedding
text_closest_embedding_557,text_embedding
text_closest_embedding_558,text_embedding
text_closest_embedding_559,text_embedding
text_closest_embedding_560,text_embedding
text_closest_embedding_561,text_embedding
text_closest_embedding_562,text_embedding
text_closest_embedding_563,text_embedding
text_closest_embedding_564,text_embedding
text_closest_embedding_565,text_embedding
text_closest_embedding_566,text_embedding
text_closest_embedding_567,text_embedding
text_closest_embedding_568,text_embedding
text_closest_embedding_569,text_embedding
text_closest_embedding_570,text_embedding
text_closest_embedding_571,text_embedding
text_closest_embedding_572,text_embedding
text_closest_embedding_573,text_embedding
text_closest_embedding_574,text_embedding
text_closest_embedding_575,text_embedding
text_closest_embedding_576,text_embedding
text_closest_embedding_577,text_embedding
text_closest_embedding_578,text_embedding
text_closest_embedding_579,text_embedding
text_closest_embedding_580,text_embedding
text_closest_embedding_581,text_embedding
text_closest_embedding_582,text_embedding
text_closest_embedding_583,text_embedding
text_closest_embedding_584,text_embedding
text_closest_embedding_585,text_embedding
text_closest_embedding_586,text_embedding
text_closest_embedding_587,text_embedding
text_closest_embedding_588,text_embedding
text_closest_embedding_589,text_embedding
text_closest_embedding_590,text_embedding
text_closest_embedding_591,text_embedding
text_closest_embedding_592,text_embedding
text_closest_embedding_593,text_embedding
text_closest_embedding_594,text_embedding
text_closest_embedding_595,text_embedding
text_closest_embedding_596,text_embedding
text_closest_embedding_597,text_embedding
text_closest_embedding_598,text_embedding
text_closest_embedding_599,text_embedding
text_closest_embedding_600,text_embedding
text_closest_embedding_601,text_embedding
text_closest_embedding_602,text_embedding
text_closest_embedding_603,text_embedding
text_closest_embedding_604,text_embedding
text_closest_embedding_605,text_embedding
text_closest_embedding_606,text_embedding
text_closest_embedding_607,text_embedding
text_closest_embedding_608,text_embedding
text_closest_embedding_609,text_embedding
text_closest_embedding_610,text_embedding
text_closest_embedding_611,text_embedding
text_closest_embedding_612,text_embedding
text_closest_embedding_613,text_embedding
text_closest_embedding_614,text_embedding
text_closest_embedding_615,text_embedding
text_closest_embedding_616,text_embedding
text_closest_embedding_617,text_embedding
text_closest_embedding_618,text_embedding
text_closest_embedding_619,text_embedding
text_closest_embedding_620,text_embedding
text_closest_embedding_621,text_embedding
text_closest_embedding_622,text_embedding
text_closest_embedding_623,text_embedding
text_closest_embedding_624,text_embedding
text_closest_embedding_625,text_embedding
text_closest_embedding_626,text_embedding
text_closest_embedding_627,text_embedding
text_closest_embedding_628,text_embedding
text_closest_embedding_629,text_embedding
text_closest_embedding_630,text_embedding
text_closest_embedding_631,text_embedding
text_closest_embedding_632,text_embedding
text_closest_embedding_633,text_embedding
text_closest_embedding_634,text_embedding
text_closest_embedding_635,text_embedding
text_closest_embedding_636,text_embedding
text_closest_embedding_637,text_embedding
text_closest_embedding_638,text_embedding
text_closest_embedding_639,text_embedding
text_closest_embedding_640,text_embedding
text_closest_embedding_641,text_embedding
text_closest_embedding_642,text_embedding
text_closest_embedding_643,text_embedding
text_closest_embedding_644,text_embedding
text_closest_embedding_645,text_embedding
text_closest_embedding_646,text_embedding
text_closest_embedding_647,text_embedding
text_closest_embedding_648,text_embedding
text_closest_embedding_649,text_embedding
text_closest_embedding_650,text_embedding
text_closest_embedding_651,text_embedding
text_closest_embedding_652,text_embedding
text_closest_embedding_653,text_embedding
text_closest_embedding_654,text_embedding
text_closest_embedding_655,text_embedding
text_closest_embedding_656,text_embedding
text_closest_embedding_657,text_embedding
text_closest_embedding_658,text_embedding
text_closest_embedding_659,text_embedding
text_closest_embedding_660,text_embedding
text_closest_embedding_661,text_embedding
text_closest_embedding_662,text_embedding
text_closest_embedding_663,text_embedding
text_closest_embedding_664,text_embedding
text_closest_embedding_665,text_embedding
text_closest_embedding_666,text_embedding
text_closest_embedding_667,text_embedding
text_closest_embedding_668,text_embedding
text_closest_embedding_669,text_embedding
text_closest_embedding_670,text_embedding
text_closest_embedding_671,text_embedding
text_closest_embedding_672,text_embedding
text_closest_embedding_673,text_embedding
text_closest_embedding_674,text_embedding
text_closest_embedding_675,text_embedding
text_closest_embedding_676,text_embedding
text_closest_embedding_677,text_embedding
text_closest_embedding_678,text_embedding
text_closest_embedding_679,text_embedding
text_closest_embedding_680,text_embedding
text_closest_embedding_681,text_embedding
text_closest_embedding_682,text_embedding
text_closest_embedding_683,text_embedding
text_closest_embedding_684,text_embedding
text_closest_embedding_685,text_embedding
text_closest_embedding_686,text_embedding
text_closest_embedding_687,text_embedding
text_closest_embedding_688,text_embedding
text_closest_embedding_689,text_embedding
text_closest_embedding_690,text_embedding
text_closest_embedding_691,text_embedding
text_closest_embedding_692,text_embedding
text_closest_embedding_693,text_embedding
text_closest_embedding_694,text_embedding
text_closest_embedding_695,text_embedding
text_closest_embedding_696,text_embedding
text_closest_embedding_697,text_embedding
text_closest_embedding_698,text_embedding
text_closest_embedding_699,text_embedding
text_closest_embedding_700,text_embedding
text_closest_embedding_701,text_embedding
text_closest_embedding_702,text_embedding
text_closest_embedding_703,text_embedding
text_closest_embedding_704,text_embedding
text_closest_embedding_705,text_embedding
text_closest_embedding_706,text_embedding
text_closest_embedding_707,text_embedding
text_closest_embedding_708,text_embedding
text_closest_embedding_709,text_embedding
text_closest_embedding_710,text_embedding
text_closest_embedding_711,text_embedding
text_closest_embedding_712,text_embedding
text_closest_embedding_713,text_embedding
text_closest_embedding_714,text_embedding
text_closest_embedding_715,text_embedding
text_closest_embedding_716,text_embedding
text_closest_embedding_717,text_embedding
text_closest_embedding_718,text_embedding
text_closest_embedding_719,text_embedding
text_closest_embedding_720,text_embedding
text_closest_embedding_721,text_embedding
text_closest_embedding_722,text_embedding
text_closest_embedding_723,text_embedding
text_closest_embedding_724,text_embedding
text_closest_embedding_725,text_embedding
text_closest_embedding_726,text_embedding
text_closest_embedding_727,text_embedding
text_closest_embedding_728,text_embedding
text_closest_embedding_729,text_embedding
text_closest_embedding_730,text_embedding
text_closest_embedding_731,text_embedding
text_closest_embedding_732,text_embedding
text_closest_embedding_733,text_embedding
text_closest_embedding_734,text_embedding
text_closest_embedding_735,text_embedding
text_closest_embedding_736,text_embedding
text_closest_embedding_737,text_embedding
text_closest_embedding_738,text_embedding
text_closest_embedding_739,text_embedding
text_closest_embedding_740,text_embedding
text_closest_embedding_741,text_embedding
text_closest_embedding_742,text_embedding
text_closest_embedding_743,text_embedding
text_closest_embedding_744,text_embedding
text_closest_embedding_745,text_embedding
text_closest_embedding_746,text_embedding
text_closest_embedding_747,text_embedding
text_closest_embedding_748,text_embedding
text_closest_embedding_749,text_embedding
text_closest_embedding_750,text_embedding
text_closest_embedding_751,text_embedding
text_closest_embedding_752,text_embedding
text_closest_embedding_753,text_embedding
text_closest_embedding_754,text_embedding
text_closest_embedding_755,text_embedding
text_closest_embedding_756,text_embedding
text_closest_embedding_757,text_embedding
text_closest_embedding_758,text_embedding
text_closest_embedding_759,text_embedding
text_closest_embedding_760,text_embedding
text_closest_embedding_761,text_embedding
text_closest_embedding_762,text_embedding
text_closest_embedding_763,text_embedding
text_closest_embedding_764,text_embedding
text_closest_embedding_765,text_embedding
text_closest_embedding_766,text_embedding
text_closest_embedding_767,text_embedding
note_window_count,note_metadata
note_total_count,note_metadata
note_mean_count_per_window,note_metadata
note_max_count_per_window,note_metadata
note_closest_window_index,note_metadata
note_oldest_window_index,note_metadata
note_closest_recency_hours,note_metadata
note_oldest_recency_hours,note_metadata
category_window_physician,note_metadata
category_note_physician,note_metadata
category_window_nursing,note_metadata
category_note_nursing,note_metadata
category_window_radiology,note_metadata
category_note_radiology,note_metadata
antibiotic_count_48h,clinical_event
antibiotic_flag_48h,clinical_event
antibiotic_hours_since_last,clinical_event
vasopressor_count_48h,clinical_event
vasopressor_flag_48h,clinical_event
vasopressor_hours_since_last,clinical_event
culture_count_48h,clinical_event
culture_flag_48h,clinical_event
culture_hours_since_last,clinical_event
